N,variant,iters,rel_err,min_eig,nInc
1,poly4,967,1.0194906750914829,4.0341324823407412,459
1,poly6,1776,1.8172036552765443,11.106672784741288,434
1,bs4,1004,0.75095033634286179,2.6228842623541651,0
1,bs6,2000,1.6967268076623192,9.3770730842351195,0
1,bs4old,1202,1.3758034966125272,6.5988557127100007,583
1,ccp_poly4,3,45.458654397019288,-8.08128154618759,1.120092114643096e-10
1,ccp_bs4,18,40.230854632032894,13.767942374431756,0.22344839623602145
2,poly4,905,1.2945499131242404,4.3817740949368194,421
2,poly6,1526,2.1810660495831469,6.2769119677234579,482
2,bs4,1053,1.1387303298415996,3.1408468049211695,0
2,bs6,1831,2.012684199139529,10.680960167678549,0
2,bs4old,931,1.8720582553042799,8.7660552111516949,0
3,poly4,1223,1.1442258030939141,4.2559469835833026,324
3,poly6,1755,1.7425830997526695,10.569702700400814,402
3,bs4,999,0.71740036290243425,2.5602887821088167,0
3,bs6,2000,1.5837040863502236,8.7024786678357096,0
3,bs4old,1161,1.403882599853286,7.0716986787639549,0
4,poly4,980,0.93437278977655192,3.8549229824915483,379
4,poly6,1520,1.1172812159353864,6.004202922817063,436
4,bs4,871,0.3684351318403114,1.8645098272216831,0
4,bs6,1787,1.1372103956760664,6.6666384915157106,0
4,bs4old,1019,1.008017858223913,5.4404881203425841,0
5,poly4,1009,1.3576416105530491,4.8532223563887822,366
5,poly6,1528,1.7442475433887494,9.54404944346863,349
5,bs4,924,0.67931530942998897,2.3918900231760047,0
5,bs6,1891,1.679810405961127,8.780868594961138,0
5,bs4old,939,1.4661558273474071,7.3101638638213231,0
5,ccp_poly4,34,52.499703610070263,28.01666169750515,0.37226504664645066
5,ccp_bs4,20,42.132280981021182,28.767357347111883,0.47404639214913857
6,poly4,993,1.0217539583659034,4.0582763472153447,344
6,poly6,1485,1.3431745721987853,7.5644353398219755,288
6,bs4,911,0.58026920500176227,2.2193573639865081,0
6,bs6,1636,1.3702053736016133,7.6718254788618054,0
6,bs4old,938,1.2068355041145618,6.2418155981273253,0
7,poly4,989,0.92505634786700219,3.7535635809774961,370
7,poly6,1652,1.3176494962222265,7.9841367386195001,351
7,bs4,1059,0.57990679835697201,2.1743168757741493,0
7,bs6,1759,1.1684224769567757,6.4085954402767085,0
7,bs4old,940,1.1196153167515384,5.6042824160358196,376
8,poly4,967,0.88233239110141881,3.5882989264915497,379
8,poly6,1527,1.2447198900147503,7.2322607222888529,403
8,bs4,1053,0.53248895671646768,2.0305589335294427,0
8,bs6,1766,1.0859786532941329,6.0516373920125073,0
8,bs4old,979,1.0368432833365977,5.2345655734227403,480
9,poly4,989,0.71300681220519613,3.0634103713027439,396
9,poly6,1500,1.0850186550150351,7.2209419671326005,425
9,bs4,1065,0.43703868429015141,1.838258551254627,0
9,bs6,1758,0.97326515318292206,5.6947365229938276,0
9,bs4old,958,0.88646603888902908,4.5568547353003792,512
10,poly4,969,0.63166927418596563,2.6630275016289904,344
10,poly6,1574,0.98727945431634057,6.6638885593447554,422
10,bs4,1055,0.492502435931024,1.676103472057733,0
10,bs6,2000,0.90989101723055665,5.0926296644198086,0
10,bs4old,929,0.81892703857113935,4.1649626031743212,0
10,ccp_poly4,29,42.612582506568515,29.199745917695495,0.43324183158150342
10,ccp_bs4,17,37.723345803834682,29.869192992107614,0.54644412179427371
11,poly4,977,0.53239218378526154,2.4832799887606574,390
11,poly6,1513,0.8808020454451605,6.1540798997915021,443
11,bs4,1060,0.29372204853981748,1.5383313961685665,0
11,bs6,1778,0.79450404232845906,4.9112085943982384,0
11,bs4old,942,0.69558571800289115,3.7873728277708736,487
12,poly4,994,0.49992531462521062,2.1945313016517676,417
12,poly6,1671,0.80661486298380036,5.5617455719923798,438
12,bs4,1050,0.2965269619725362,1.4193738443888433,0
12,bs6,1767,0.72634544274290569,4.3953423113973091,0
12,bs4old,944,0.63614786370644905,3.336348540300778,512
13,poly4,978,0.47112635183868912,2.3026420202743623,305
13,poly6,1673,0.61422405676388636,4.0448993952593915,256
13,bs4,1042,0.29371127350657772,1.5144314292278742,0
13,bs6,1784,0.57162958347980286,3.4273230030798443,0
13,bs4old,962,0.52561372216008784,3.0167541559809892,349
14,poly4,990,0.40540918259475184,2.1673207220132089,254
